培训记录ID,培训项目名称,培训类型,培训完成时间,学时,一级维度,二级维度,三级维度,培训层级类型,完成时间（标准格式）,备注
TRN033,家校共育沟通技巧培训,国培,2025-04-27,30,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2025年04月,
TRN034,班主任班级管理能力研修,市县培,2023-07-29,44,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年07月,
TRN035,STEM教育理念与实践培训,国培,2024-09-24,44,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2024年09月,
TRN036,师德师风建设专题培训,国培,2025-06-26,43,专业理念与师德,专业理念与师德-师德修养,,国家级培训（国培）,2025年06月,
TRN037,心理健康教育与学生辅导培训,市县培,2023-10-08,45,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年10月,
TRN038,作业设计与评价改革培训,市县培,2023-07-27,10,专业能力,专业能力-教学设计,,市级培训（市培）,2023年07月,
TRN039,学科核心考点解析与教学策略培训,其它,2023-05-30,48,专业能力,专业能力-教学设计,,其它,2023年05月,
TRN040,校本课程开发与实施培训,国培,2024-05-16,9,专业能力,专业能力-课程开发能力,,国家级培训（国培）,2024年05月,
TRN041,特殊学生教育与帮扶培训,其它,2023-10-12,35,专业能力,专业能力-班级管理与学生指导,,其它,2023年10月,
TRN042,学科核心考点解析与教学策略培训,省培,2024-03-28,19,专业能力,专业能力-教学设计,,省级培训（省培）,2024年03月,
TRN043,教育科研方法与论文写作培训,其它,2024-04-12,16,专业能力,专业能力-教育研究能力,,其它,2024年04月,
TRN044,跨学科教学融合实践研修,其它,2024-02-25,42,专业知识,专业知识-学科知识,,其它,2024年02月,
TRN045,STEM教育理念与实践培训,其它,2025-11-25,15,数字素养,数字素养-教育技术应用能力,,其它,2025年11月,
TRN046,智慧课堂建设与应用培训,其它,2025-09-07,13,数字素养,数字素养-教育技术应用能力,,其它,2025年09月,
TRN047,班主任班级管理能力研修,国培,2024-05-31,43,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2024年05月,
TRN048,STEM教育理念与实践培训,国培,2023-03-18,16,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2023年03月,
TRN049,核心素养导向的教学设计培训,省培,2025-07-13,38,专业能力,专业能力-教学设计,,省级培训（省培）,2025年07月,
TRN050,校本课程开发与实施培训,国培,2023-03-05,39,专业能力,专业能力-课程开发能力,,国家级培训（国培）,2023年03月,
TRN051,班主任班级管理能力研修,校本研修,2025-02-23,37,专业能力,专业能力-班级管理与学生指导,,校级培训（校培）,2025年02月,
TRN052,教师信息技术应用能力提升培训,其它,2025-06-23,42,数字素养,数字素养-教育技术应用能力,,其它,2025年06月,
TRN053,学科核心考点解析与教学策略培训,市县培,2024-03-31,34,专业能力,专业能力-教学设计,,市级培训（市培）,2024年03月,
TRN054,智慧课堂建设与应用培训,校本研修,2024-10-28,23,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2024年10月,
TRN055,家校共育沟通技巧培训,市县培,2025-05-16,37,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2025年05月,
TRN056,师德师风建设专题培训,其它,2024-06-08,21,专业理念与师德,专业理念与师德-师德修养,,其它,2024年06月,
TRN057,作业设计与评价改革培训,省培,2024-07-23,9,专业能力,专业能力-教学设计,,省级培训（省培）,2024年07月,
TRN058,新课标下的课堂教学创新培训,市县培,2025-04-29,19,专业能力,专业能力-教学设计,,市级培训（市培）,2025年04月,
TRN059,STEM教育理念与实践培训,国培,2023-03-29,44,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2023年03月,
TRN060,作业设计与评价改革培训,其它,2025-09-19,21,专业能力,专业能力-教学设计,,其它,2025年09月,
TRN061,教师信息技术应用能力提升培训,其它,2024-11-24,14,数字素养,数字素养-教育技术应用能力,,其它,2024年11月,
TRN062,作业设计与评价改革培训,市县培,2024-06-29,18,专业能力,专业能力-教学设计,,市级培训（市培）,2024年06月,
TRN063,STEM教育理念与实践培训,省培,2023-09-22,7,数字素养,数字素养-教育技术应用能力,,省级培训（省培）,2023年09月,
TRN064,校本课程开发与实施培训,校本研修,2025-07-25,7,专业能力,专业能力-课程开发能力,,校级培训（校培）,2025年07月,
TRN065,教师信息技术应用能力提升培训,市县培,2023-10-20,12,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2023年10月,
TRN066,智慧课堂建设与应用培训,其它,2025-10-09,38,数字素养,数字素养-教育技术应用能力,,其它,2025年10月,
TRN067,教育科研方法与论文写作培训,其它,2023-01-29,37,专业能力,专业能力-教育研究能力,,其它,2023年01月,
TRN068,跨学科教学融合实践研修,省培,2023-07-03,37,专业知识,专业知识-学科知识,,省级培训（省培）,2023年07月,
TRN069,特殊学生教育与帮扶培训,市县培,2025-02-10,33,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2025年02月,
TRN070,核心素养导向的教学设计培训,其它,2024-09-20,35,专业能力,专业能力-教学设计,,其它,2024年09月,
TRN071,师德师风建设专题培训,市县培,2024-03-07,27,专业理念与师德,专业理念与师德-师德修养,,市级培训（市培）,2024年03月,
TRN072,教育科研方法与论文写作培训,市县培,2023-10-28,47,专业能力,专业能力-教育研究能力,,市级培训（市培）,2023年10月,
TRN073,校本课程开发与实施培训,其它,2023-10-20,40,专业能力,专业能力-课程开发能力,,其它,2023年10月,
TRN074,新课标下的课堂教学创新培训,国培,2024-06-23,22,专业能力,专业能力-教学设计,,国家级培训（国培）,2024年06月,
TRN075,校本课程开发与实施培训,省培,2023-12-12,18,专业能力,专业能力-课程开发能力,,省级培训（省培）,2023年12月,
TRN076,作业设计与评价改革培训,国培,2025-04-17,36,专业能力,专业能力-教学设计,,国家级培训（国培）,2025年04月,
TRN077,师德师风建设专题培训,其它,2025-01-13,4,专业理念与师德,专业理念与师德-师德修养,,其它,2025年01月,
TRN078,教育科研方法与论文写作培训,其它,2023-06-20,8,专业能力,专业能力-教育研究能力,,其它,2023年06月,
TRN079,教育科研方法与论文写作培训,省培,2023-01-15,15,专业能力,专业能力-教育研究能力,,省级培训（省培）,2023年01月,
TRN080,STEM教育理念与实践培训,市县培,2024-02-07,19,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2024年02月,
TRN081,校本课程开发与实施培训,其它,2024-10-18,30,专业能力,专业能力-课程开发能力,,其它,2024年10月,
TRN082,核心素养导向的教学设计培训,校本研修,2024-08-30,43,专业能力,专业能力-教学设计,,校级培训（校培）,2024年08月,
TRN083,作业设计与评价改革培训,校本研修,2025-05-29,8,专业能力,专业能力-教学设计,,校级培训（校培）,2025年05月,
TRN084,新课标下的课堂教学创新培训,市县培,2023-06-11,44,专业能力,专业能力-教学设计,,市级培训（市培）,2023年06月,
TRN085,智慧课堂建设与应用培训,校本研修,2024-01-27,31,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2024年01月,
TRN086,智慧课堂建设与应用培训,市县培,2024-09-17,48,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2024年09月,
TRN087,班主任班级管理能力研修,校本研修,2025-08-17,22,专业能力,专业能力-班级管理与学生指导,,校级培训（校培）,2025年08月,
TRN088,STEM教育理念与实践培训,校本研修,2025-05-02,43,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2025年05月,
TRN089,智慧课堂建设与应用培训,省培,2025-03-18,27,数字素养,数字素养-教育技术应用能力,,省级培训（省培）,2025年03月,
TRN090,家校共育沟通技巧培训,省培,2023-12-29,31,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2023年12月,
TRN091,学科核心考点解析与教学策略培训,校本研修,2023-09-18,10,专业能力,专业能力-教学设计,,校级培训（校培）,2023年09月,
TRN092,心理健康教育与学生辅导培训,国培,2025-11-08,15,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2025年11月,
TRN093,跨学科教学融合实践研修,市县培,2023-10-25,13,专业知识,专业知识-学科知识,,市级培训（市培）,2023年10月,
TRN094,学科核心考点解析与教学策略培训,校本研修,2025-05-10,14,专业能力,专业能力-教学设计,,校级培训（校培）,2025年05月,
TRN095,教师信息技术应用能力提升培训,省培,2024-03-24,46,数字素养,数字素养-教育技术应用能力,,省级培训（省培）,2024年03月,
TRN096,核心素养导向的教学设计培训,国培,2025-01-27,28,专业能力,专业能力-教学设计,,国家级培训（国培）,2025年01月,
TRN097,家校共育沟通技巧培训,国培,2025-06-10,21,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2025年06月,
TRN098,班主任班级管理能力研修,省培,2024-01-09,18,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2024年01月,
TRN099,心理健康教育与学生辅导培训,省培,2023-01-20,30,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2023年01月,
TRN100,校本课程开发与实施培训,校本研修,2024-04-23,20,专业能力,专业能力-课程开发能力,,校级培训（校培）,2024年04月,
TRN101,师德师风建设专题培训,其它,2023-04-17,7,专业理念与师德,专业理念与师德-师德修养,,其它,2023年04月,
TRN102,STEM教育理念与实践培训,国培,2025-07-30,41,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2025年07月,
TRN103,智慧课堂建设与应用培训,国培,2023-05-19,4,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2023年05月,
TRN104,心理健康教育与学生辅导培训,其它,2023-12-11,38,专业能力,专业能力-班级管理与学生指导,,其它,2023年12月,
TRN105,教育科研方法与论文写作培训,国培,2024-07-11,16,专业能力,专业能力-教育研究能力,,国家级培训（国培）,2024年07月,
TRN106,作业设计与评价改革培训,国培,2023-06-08,29,专业能力,专业能力-教学设计,,国家级培训（国培）,2023年06月,
TRN107,学科核心考点解析与教学策略培训,校本研修,2023-04-22,19,专业能力,专业能力-教学设计,,校级培训（校培）,2023年04月,
TRN108,教育科研方法与论文写作培训,市县培,2025-11-14,30,专业能力,专业能力-教育研究能力,,市级培训（市培）,2025年11月,
TRN109,STEM教育理念与实践培训,省培,2023-08-04,29,数字素养,数字素养-教育技术应用能力,,省级培训（省培）,2023年08月,
TRN110,作业设计与评价改革培训,校本研修,2024-06-21,19,专业能力,专业能力-教学设计,,校级培训（校培）,2024年06月,
TRN111,师德师风建设专题培训,市县培,2023-08-27,40,专业理念与师德,专业理念与师德-师德修养,,市级培训（市培）,2023年08月,
TRN112,教育科研方法与论文写作培训,市县培,2025-11-30,41,专业能力,专业能力-教育研究能力,,市级培训（市培）,2025年11月,
TRN113,跨学科教学融合实践研修,省培,2025-08-11,26,专业知识,专业知识-学科知识,,省级培训（省培）,2025年08月,
TRN114,核心素养导向的教学设计培训,国培,2025-06-12,45,专业能力,专业能力-教学设计,,国家级培训（国培）,2025年06月,
TRN115,特殊学生教育与帮扶培训,市县培,2023-08-27,40,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年08月,
TRN116,家校共育沟通技巧培训,其它,2024-03-17,48,专业能力,专业能力-班级管理与学生指导,,其它,2024年03月,
TRN117,家校共育沟通技巧培训,国培,2023-06-09,7,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2023年06月,
TRN118,STEM教育理念与实践培训,国培,2024-10-30,34,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2024年10月,
TRN119,新课标下的课堂教学创新培训,国培,2024-07-28,28,专业能力,专业能力-教学设计,,国家级培训（国培）,2024年07月,
TRN120,教师信息技术应用能力提升培训,校本研修,2023-09-25,14,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2023年09月,
TRN121,智慧课堂建设与应用培训,校本研修,2025-08-06,13,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2025年08月,
TRN122,特殊学生教育与帮扶培训,国培,2024-10-08,33,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2024年10月,
TRN123,智慧课堂建设与应用培训,市县培,2023-12-27,15,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2023年12月,
TRN124,智慧课堂建设与应用培训,其它,2023-06-01,23,数字素养,数字素养-教育技术应用能力,,其它,2023年06月,
TRN125,心理健康教育与学生辅导培训,省培,2025-04-28,40,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2025年04月,
TRN126,核心素养导向的教学设计培训,校本研修,2025-04-14,27,专业能力,专业能力-教学设计,,校级培训（校培）,2025年04月,
TRN127,教师信息技术应用能力提升培训,校本研修,2024-03-10,37,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2024年03月,
TRN128,校本课程开发与实施培训,其它,2025-08-25,9,专业能力,专业能力-课程开发能力,,其它,2025年08月,
TRN129,教师信息技术应用能力提升培训,其它,2025-12-25,22,数字素养,数字素养-教育技术应用能力,,其它,2025年12月,
TRN130,跨学科教学融合实践研修,国培,2025-10-08,4,专业知识,专业知识-学科知识,,国家级培训（国培）,2025年10月,
TRN131,师德师风建设专题培训,国培,2023-03-12,34,专业理念与师德,专业理念与师德-师德修养,,国家级培训（国培）,2023年03月,
TRN132,作业设计与评价改革培训,校本研修,2025-06-23,5,专业能力,专业能力-教学设计,,校级培训（校培）,2025年06月,
TRN133,新课标下的课堂教学创新培训,市县培,2023-04-23,11,专业能力,专业能力-教学设计,,市级培训（市培）,2023年04月,
TRN134,STEM教育理念与实践培训,校本研修,2024-02-01,37,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2024年02月,
TRN135,STEM教育理念与实践培训,市县培,2024-01-08,8,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2024年01月,
TRN136,STEM教育理念与实践培训,市县培,2024-09-05,15,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2024年09月,
TRN137,STEM教育理念与实践培训,国培,2024-05-08,12,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2024年05月,
TRN138,教师信息技术应用能力提升培训,市县培,2023-01-17,28,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2023年01月,
TRN139,STEM教育理念与实践培训,校本研修,2023-08-26,28,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2023年08月,
TRN140,校本课程开发与实施培训,其它,2023-10-19,36,专业能力,专业能力-课程开发能力,,其它,2023年10月,
TRN141,作业设计与评价改革培训,国培,2023-02-02,24,专业能力,专业能力-教学设计,,国家级培训（国培）,2023年02月,
TRN142,跨学科教学融合实践研修,市县培,2025-08-28,27,专业知识,专业知识-学科知识,,市级培训（市培）,2025年08月,
TRN143,学科核心考点解析与教学策略培训,国培,2025-01-13,36,专业能力,专业能力-教学设计,,国家级培训（国培）,2025年01月,
TRN144,教师信息技术应用能力提升培训,校本研修,2024-02-19,15,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2024年02月,
TRN145,教师信息技术应用能力提升培训,省培,2025-07-01,4,数字素养,数字素养-教育技术应用能力,,省级培训（省培）,2025年07月,
TRN146,心理健康教育与学生辅导培训,市县培,2023-10-29,26,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年10月,
TRN147,STEM教育理念与实践培训,其它,2025-04-27,7,数字素养,数字素养-教育技术应用能力,,其它,2025年04月,
TRN148,新课标下的课堂教学创新培训,国培,2025-05-21,9,专业能力,专业能力-教学设计,,国家级培训（国培）,2025年05月,
TRN149,教育科研方法与论文写作培训,省培,2023-06-19,34,专业能力,专业能力-教育研究能力,,省级培训（省培）,2023年06月,
TRN150,校本课程开发与实施培训,省培,2025-01-13,36,专业能力,专业能力-课程开发能力,,省级培训（省培）,2025年01月,
TRN151,师德师风建设专题培训,省培,2024-12-19,32,专业理念与师德,专业理念与师德-师德修养,,省级培训（省培）,2024年12月,
TRN152,新课标下的课堂教学创新培训,校本研修,2024-08-17,19,专业能力,专业能力-教学设计,,校级培训（校培）,2024年08月,
TRN153,作业设计与评价改革培训,其它,2023-10-27,24,专业能力,专业能力-教学设计,,其它,2023年10月,
TRN154,教育科研方法与论文写作培训,其它,2023-10-15,47,专业能力,专业能力-教育研究能力,,其它,2023年10月,
TRN155,教师信息技术应用能力提升培训,校本研修,2025-02-02,29,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2025年02月,
TRN156,心理健康教育与学生辅导培训,省培,2024-01-23,25,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2024年01月,
TRN157,特殊学生教育与帮扶培训,国培,2023-06-08,34,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2023年06月,
TRN158,STEM教育理念与实践培训,国培,2024-05-19,27,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2024年05月,
TRN159,家校共育沟通技巧培训,省培,2025-06-15,17,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2025年06月,
TRN160,教育科研方法与论文写作培训,校本研修,2023-07-29,16,专业能力,专业能力-教育研究能力,,校级培训（校培）,2023年07月,
TRN161,教育科研方法与论文写作培训,国培,2025-08-18,22,专业能力,专业能力-教育研究能力,,国家级培训（国培）,2025年08月,
TRN162,家校共育沟通技巧培训,校本研修,2025-03-26,11,专业能力,专业能力-班级管理与学生指导,,校级培训（校培）,2025年03月,
TRN163,家校共育沟通技巧培训,省培,2023-08-06,45,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2023年08月,
TRN164,跨学科教学融合实践研修,国培,2025-12-29,42,专业知识,专业知识-学科知识,,国家级培训（国培）,2025年12月,
TRN165,师德师风建设专题培训,国培,2023-05-19,9,专业理念与师德,专业理念与师德-师德修养,,国家级培训（国培）,2023年05月,
TRN166,跨学科教学融合实践研修,校本研修,2024-09-28,28,专业知识,专业知识-学科知识,,校级培训（校培）,2024年09月,
TRN167,心理健康教育与学生辅导培训,校本研修,2024-09-11,33,专业能力,专业能力-班级管理与学生指导,,校级培训（校培）,2024年09月,
TRN168,心理健康教育与学生辅导培训,国培,2024-11-23,31,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2024年11月,
TRN169,新课标下的课堂教学创新培训,其它,2025-09-25,36,专业能力,专业能力-教学设计,,其它,2025年09月,
TRN170,跨学科教学融合实践研修,国培,2023-08-24,48,专业知识,专业知识-学科知识,,国家级培训（国培）,2023年08月,
TRN171,跨学科教学融合实践研修,省培,2024-04-05,48,专业知识,专业知识-学科知识,,省级培训（省培）,2024年04月,
TRN172,心理健康教育与学生辅导培训,国培,2024-04-17,10,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2024年04月,
TRN173,班主任班级管理能力研修,其它,2025-03-01,45,专业能力,专业能力-班级管理与学生指导,,其它,2025年03月,
TRN174,家校共育沟通技巧培训,校本研修,2023-11-20,22,专业能力,专业能力-班级管理与学生指导,,校级培训（校培）,2023年11月,
TRN175,作业设计与评价改革培训,市县培,2024-02-06,17,专业能力,专业能力-教学设计,,市级培训（市培）,2024年02月,
TRN176,班主任班级管理能力研修,省培,2025-06-13,5,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2025年06月,
TRN177,家校共育沟通技巧培训,市县培,2023-06-07,20,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年06月,
TRN178,特殊学生教育与帮扶培训,省培,2023-05-11,36,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2023年05月,
TRN179,核心素养导向的教学设计培训,其它,2023-11-26,48,专业能力,专业能力-教学设计,,其它,2023年11月,
TRN180,跨学科教学融合实践研修,市县培,2025-04-11,37,专业知识,专业知识-学科知识,,市级培训（市培）,2025年04月,
TRN181,新课标下的课堂教学创新培训,市县培,2025-11-28,11,专业能力,专业能力-教学设计,,市级培训（市培）,2025年11月,
TRN182,核心素养导向的教学设计培训,其它,2023-07-26,8,专业能力,专业能力-教学设计,,其它,2023年07月,
TRN183,校本课程开发与实施培训,市县培,2025-11-24,33,专业能力,专业能力-课程开发能力,,市级培训（市培）,2025年11月,
TRN184,师德师风建设专题培训,国培,2023-11-15,13,专业理念与师德,专业理念与师德-师德修养,,国家级培训（国培）,2023年11月,
TRN185,校本课程开发与实施培训,其它,2025-07-14,29,专业能力,专业能力-课程开发能力,,其它,2025年07月,
TRN186,家校共育沟通技巧培训,其它,2025-08-25,38,专业能力,专业能力-班级管理与学生指导,,其它,2025年08月,
TRN187,跨学科教学融合实践研修,省培,2024-02-03,46,专业知识,专业知识-学科知识,,省级培训（省培）,2024年02月,
TRN188,家校共育沟通技巧培训,其它,2024-07-30,21,专业能力,专业能力-班级管理与学生指导,,其它,2024年07月,
TRN189,教育科研方法与论文写作培训,国培,2024-02-23,34,专业能力,专业能力-教育研究能力,,国家级培训（国培）,2024年02月,
TRN190,教育科研方法与论文写作培训,国培,2025-09-23,28,专业能力,专业能力-教育研究能力,,国家级培训（国培）,2025年09月,
TRN191,教师信息技术应用能力提升培训,市县培,2023-09-20,25,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2023年09月,
TRN192,班主任班级管理能力研修,市县培,2024-11-21,26,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2024年11月,
TRN193,新课标下的课堂教学创新培训,其它,2025-05-01,45,专业能力,专业能力-教学设计,,其它,2025年05月,
TRN194,作业设计与评价改革培训,省培,2023-03-28,15,专业能力,专业能力-教学设计,,省级培训（省培）,2023年03月,
TRN195,班主任班级管理能力研修,其它,2023-02-24,25,专业能力,专业能力-班级管理与学生指导,,其它,2023年02月,
TRN196,STEM教育理念与实践培训,国培,2023-12-24,37,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2023年12月,
TRN197,特殊学生教育与帮扶培训,其它,2024-04-02,17,专业能力,专业能力-班级管理与学生指导,,其它,2024年04月,
TRN198,学科核心考点解析与教学策略培训,校本研修,2023-02-09,11,专业能力,专业能力-教学设计,,校级培训（校培）,2023年02月,
TRN199,学科核心考点解析与教学策略培训,国培,2024-10-01,19,专业能力,专业能力-教学设计,,国家级培训（国培）,2024年10月,
TRN200,校本课程开发与实施培训,国培,2024-08-14,37,专业能力,专业能力-课程开发能力,,国家级培训（国培）,2024年08月,
